Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
nl Ajax,21,61.8,8.0,5844,460,1503,2758,1950,336,5465,65,133,48.9,74,5,4102,19801,11017,465,126,49,84,88,4727,4231,89.5,439
it Atalanta,21,52.0,6.0,3928,320,1148,1818,1200,170,3635,47,109,43.1,54,8,2440,11953,6252,277,82,29,107,90,2929,2560,87.4,244
es Atlético Madrid,22,40.1,10.0,5029,615,1837,2295,1169,194,4567,50,106,47.2,57,7,2966,14715,8343,331,100,38,105,119,3673,2994,81.5,260
es Barcelona,23,58.2,6.0,4335,374,1115,2283,1219,156,4066,81,129,62.8,88,1,2979,14502,7873,334,112,26,65,79,3595,3191,88.8,238
de Bayern Munich,24,63.3,10.0,7700,606,2097,3783,2329,382,7304,134,213,62.9,138,15,5212,27147,15153,679,186,64,119,99,6277,5698,90.8,533
pt Benfica,24,39.0,10.0,5206,796,2030,2344,1136,180,4725,100,192,52.1,117,14,3165,15745,7870,307,97,39,114,132,3564,3132,87.9,239
tr Beşiktaş,26,44.3,6.0,3433,440,1263,1745,625,96,3175,57,105,54.3,66,6,2195,10229,5306,220,63,21,83,89,2558,2128,83.2,142
eng Chelsea,24,61.3,10.3,7907,485,1765,3960,2693,342,7453,98,170,57.6,103,11,5492,25810,14103,633,219,46,118,147,6479,5897,91.0,464
be Club Brugge,21,38.5,6.0,3184,442,1200,1322,833,138,2896,58,98,59.2,64,7,1709,9437,4701,166,60,24,91,82,2312,1843,79.7,186
de Dortmund,23,51.8,6.0,4085,370,1195,2045,1106,183,3826,79,124,63.7,82,8,2697,13735,7762,343,92,35,76,69,3220,2827,87.8,230
ua Dynamo Kyiv,23,40.8,6.0,3370,528,1460,1352,751,114,3096,39,74,52.7,46,4,2029,10032,5240,171,63,14,82,47,2611,2178,83.4,135
it Inter,22,49.0,8.0,5044,615,1724,2276,1351,251,4740,50,90,55.6,54,3,3404,17536,9217,382,119,36,85,69,4000,3560,89.0,301
it Juventus,28,51.5,8.0,5395,541,1635,2724,1378,197,5090,68,117,58.1,79,3,3757,18679,9965,409,134,37,91,90,4261,3825,89.8,266
fr Lille,23,46.4,8.0,4619,451,1500,2330,1052,140,4238,95,156,60.9,103,15,2759,14173,7062,273,74,27,131,110,3497,2856,81.7,224
eng Liverpool,28,62.5,13.0,10202,713,2618,5278,2928,434,9613,129,247,52.2,147,12,6965,30864,16625,750,215,81,176,192,8275,7316,88.4,611
se Malmö,21,37.5,6.0,3048,444,1265,1400,497,51,2773,33,73,45.2,38,11,1795,7437,3492,122,28,10,60,77,2236,1849,82.7,109
eng Manchester City,26,60.7,12.3,9191,682,2215,4805,2850,421,8689,131,218,60.1,144,8,6644,35839,20439,907,238,84,122,135,7675,7005,91.3,565
eng Manchester Utd,31,54.0,8.0,5325,477,1642,2708,1319,143,4963,63,111,56.8,66,8,3345,17208,9129,352,111,23,108,94,4213,3701,87.8,236
it Milan,23,47.0,6.0,3391,485,1403,1499,691,97,3111,57,116,49.1,63,3,2087,11179,5703,190,64,14,100,77,2448,2063,84.3,143
fr Paris S-G,21,55.0,8.0,5842,781,2156,2755,1289,189,5512,113,182,62.1,122,11,4009,19693,10593,412,125,64,82,112,4789,4341,90.6,209
pt Porto,22,48.0,6.0,3240,437,1100,1482,840,145,2941,50,104,48.1,57,4,1906,9140,4741,184,66,22,85,75,2358,1914,81.2,147
de RB Leipzig,23,49.2,6.0,3581,401,1137,1631,1000,174,3333,36,78,46.2,37,8,2207,10650,5748,249,71,25,67,54,2750,2289,83.2,216
at RB Salzburg,21,44.1,8.0,4335,455,1489,1989,1113,146,3939,57,118,48.3,66,5,2496,11834,6740,263,76,35,123,97,3108,2481,79.8,270
es Real Madrid,25,51.3,13.7,9362,1143,3247,4007,2688,384,8796,142,253,56.1,158,10,6545,32170,17339,682,197,79,130,134,7539,6804,90.3,437
es Sevilla,22,61.0,6.0,4135,388,1388,1968,1017,124,3832,53,109,48.6,61,9,2682,12187,6263,254,78,16,82,78,3274,2841,86.8,194
ua Shakhtar,25,59.3,6.0,4422,487,1282,2328,1114,160,4183,60,103,58.3,63,5,3198,16376,9451,409,106,28,66,82,3685,3399,92.2,233
md Sheriff Tiraspol,19,29.2,6.0,2587,558,1338,914,486,73,2335,41,74,55.4,47,2,1400,8435,4711,153,51,16,71,66,1678,1397,83.3,74
pt Sporting CP,27,41.1,8.0,4199,642,1776,1942,733,148,3831,61,122,50.0,74,3,2574,12745,6988,226,70,28,96,89,3011,2598,86.3,187
es Villarreal,25,43.1,12.0,6600,1035,2653,2739,1580,225,6021,94,198,47.5,100,13,4095,20821,11302,366,109,48,149,146,4782,4099,85.7,298
de Wolfsburg,21,43.3,6.0,3206,447,1304,1503,583,75,2938,57,111,51.4,61,9,1812,8822,4679,172,56,13,94,56,2238,1865,83.3,130
ch Young Boys,24,49.8,6.0,3619,384,1310,1661,880,129,3366,51,105,48.6,62,2,2322,12214,6593,262,70,20,79,69,2802,2378,84.9,194
ru Zenit,21,45.7,6.0,3603,413,1241,1647,929,162,3349,50,80,62.5,56,6,2381,10996,5892,247,80,25,81,46,2807,2472,88.1,187
