Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
nl Ajax,2,8,8,720,8.0,8,1.00,20,14,70.0,6,1,1,2,25.0,2,2,0,0,0.0
it Atalanta,1,6,6,540,6.0,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,
es Atlético Madrid,1,10,10,900,10.0,10,1.00,33,25,75.8,3,3,4,3,30.0,2,2,0,0,0.0
es Barcelona,1,6,6,540,6.0,9,1.50,24,16,66.7,2,1,3,3,50.0,1,1,0,0,0.0
de Bayern Munich,2,10,10,900,10.0,7,0.70,25,18,72.0,7,2,1,4,40.0,0,0,0,0,
pt Benfica,1,10,10,900,10.0,17,1.70,52,34,67.3,3,4,3,5,50.0,1,0,0,1,
tr Beşiktaş,2,6,6,540,6.0,19,3.17,39,23,59.0,0,0,6,0,0.0,3,3,0,0,0.0
eng Chelsea,2,10,10,930,10.3,10,0.97,22,13,59.1,7,1,2,5,50.0,1,1,0,0,0.0
be Club Brugge,1,6,6,540,6.0,20,3.33,44,27,61.4,1,1,4,0,0.0,3,3,0,0,0.0
de Dortmund,1,6,6,540,6.0,11,1.83,23,13,52.2,3,0,3,2,33.3,1,0,0,1,
ua Dynamo Kyiv,2,6,6,540,6.0,11,1.83,27,17,63.0,0,1,5,1,16.7,1,1,0,0,0.0
it Inter,1,8,8,720,8.0,7,0.87,19,12,63.2,4,1,3,3,37.5,0,0,0,0,
it Juventus,2,8,8,720,8.0,10,1.25,22,15,63.6,5,1,2,4,50.0,2,2,0,0,0.0
fr Lille,2,8,8,720,8.0,8,1.00,23,17,73.9,3,2,3,3,37.5,2,2,0,0,0.0
eng Liverpool,1,13,13,1170,13.0,14,1.08,28,14,50.0,10,1,2,4,30.8,0,0,0,0,
se Malmö,2,6,6,540,6.0,14,2.33,40,30,75.0,0,1,5,0,0.0,5,4,0,1,0.0
eng Manchester City,3,12,12,1110,12.3,16,1.30,32,19,56.3,7,2,3,4,33.3,2,2,0,0,0.0
eng Manchester Utd,3,8,8,720,8.0,10,1.25,33,23,69.7,3,3,2,1,12.5,0,0,0,0,
it Milan,2,6,6,540,6.0,9,1.50,27,20,70.4,1,1,4,1,16.7,2,1,0,1,0.0
fr Paris S-G,2,8,8,720,8.0,11,1.37,39,29,74.4,4,2,2,2,25.0,2,1,1,0,50.0
pt Porto,1,6,6,540,6.0,11,1.83,28,18,60.7,1,2,3,2,33.3,0,0,0,0,
de RB Leipzig,2,6,6,540,6.0,14,2.33,26,13,53.8,2,1,3,1,16.7,3,2,0,1,0.0
at RB Salzburg,1,8,8,720,8.0,14,1.75,27,16,59.3,3,2,3,1,12.5,3,3,0,0,0.0
es Real Madrid,1,13,13,1230,13.7,14,1.02,71,56,80.3,9,0,4,5,38.5,1,0,1,0,100.0
es Sevilla,1,6,6,540,6.0,5,0.83,16,12,81.3,1,3,2,2,33.3,4,2,0,2,0.0
ua Shakhtar,3,6,6,540,6.0,12,2.00,35,24,65.7,0,2,4,1,16.7,0,0,0,0,
md Sheriff Tiraspol,2,6,6,540,6.0,11,1.83,43,33,76.7,2,1,3,1,16.7,1,1,0,0,0.0
pt Sporting CP,2,8,8,720,8.0,17,2.12,35,19,54.3,3,1,4,2,25.0,1,1,0,0,0.0
es Villarreal,1,12,12,1080,12.0,16,1.33,56,41,71.4,5,3,4,3,25.0,0,0,0,0,
de Wolfsburg,2,6,6,540,6.0,10,1.67,32,23,71.9,1,2,3,1,16.7,1,1,0,0,0.0
ch Young Boys,2,6,6,540,6.0,12,2.00,33,21,63.6,1,2,3,0,0.0,0,0,0,0,
ru Zenit,2,6,6,540,6.0,10,1.67,26,17,65.4,1,2,3,1,16.7,1,1,0,0,0.0
