Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
nl Ajax,21,26.0,61.8,8,88,720,8.0,21,16,20,1,1,15,0,2.62,2.00,4.62,2.50,4.50,19.1,18.3,13.0,31.3,2.38,1.63,4.01,2.29,3.92
it Atalanta,21,28.2,52.0,6,66,540,6.0,12,11,12,0,0,9,0,2.00,1.83,3.83,2.00,3.83,8.8,8.8,7.0,15.8,1.46,1.17,2.63,1.46,2.63
es Atlético Madrid,22,27.9,40.1,10,110,900,10.0,9,8,8,1,1,24,4,0.90,0.80,1.70,0.80,1.60,10.6,9.9,6.0,15.9,1.06,0.60,1.66,0.99,1.59
es Barcelona,23,25.9,58.2,6,66,540,6.0,2,1,2,0,0,13,1,0.33,0.17,0.50,0.33,0.50,6.1,6.1,5.5,11.6,1.02,0.92,1.94,1.02,1.94
de Bayern Munich,24,26.9,63.3,10,110,900,10.0,30,23,27,3,4,12,0,3.00,2.30,5.30,2.70,5.00,22.8,19.9,16.1,36.0,2.28,1.61,3.89,1.99,3.60
pt Benfica,24,27.7,39.0,10,110,900,10.0,13,10,12,1,1,20,0,1.30,1.00,2.30,1.20,2.20,12.0,11.2,7.8,19.0,1.20,0.78,1.98,1.12,1.90
tr Beşiktaş,26,28.0,44.3,6,66,540,6.0,3,2,2,1,1,16,2,0.50,0.33,0.83,0.33,0.67,5.4,4.7,4.2,8.9,0.90,0.70,1.60,0.78,1.48
eng Chelsea,24,27.4,61.3,10,110,930,10.3,21,15,19,2,2,14,0,2.03,1.45,3.48,1.84,3.29,17.9,16.4,14.0,30.3,1.73,1.35,3.08,1.58,2.93
be Club Brugge,21,26.2,38.5,6,66,540,6.0,5,5,5,0,0,11,0,0.83,0.83,1.67,0.83,1.67,6.5,6.5,5.0,11.5,1.08,0.83,1.91,1.08,1.91
de Dortmund,23,26.2,51.8,6,66,540,6.0,10,8,8,2,2,8,2,1.67,1.33,3.00,1.33,2.67,10.7,9.1,7.5,16.6,1.78,1.25,3.02,1.52,2.77
